,Name,Actors,Introduction,Date
40,奇怪的袜子精灵,克里斯托弗·哈德克,《奇怪的袜子精灵》这部影片是由捷克鼎力支持制片公司出品，克里斯托弗·哈德克主演，预计在2018年8月24日上映，据悉，该影片主要是讲述了袜子精灵是一种生存在人类周围的小生物，他们以人类的袜子为食，但每次只吃掉一双中的一只。本片讲述了主人公——一个叫做希力咕的袜子精灵和他寻找亲人的冒险旅程。 希力咕的爷爷在去世之前想见一见他的孩子，所以被他从小抚养长大的希力咕必须学会克服他的恐惧，离开他们住的地方并找到他叔叔——他以前并未听说过他的存在。一路上他的脑海中都是爷爷的音容笑貌：爷爷教导他要有勇气，爷爷十分重视对家庭的爱，爷爷所要求应有的良好......详情>>,上映：2018年08月17日
41,鬼吹灯之云南虫谷,,《鬼吹灯之云南虫谷》这部影片是由光线传媒出品，预计在2018年9月30日播出上映。该影片主要讲述了云南发现了一座金字塔形古墓——献王墓，古墓里传闻陪葬有可以救人性命的雮尘珠，摸金校尉深入瘴疠之地，再探古墓奇险，从而引出了一系列故事。三个摸金校尉依照一张人皮地图穿过遮龙山下古滇国秘密地下水道，不料遭遇千年痋术机关，成千上万个奴隶制成的“痋俑”像炸弹一样倒悬在洞顶，当它们接二连三地落入水中，引发的却是一连串的弱肉强食，一物降一物......丛林中夜现SOS电码，是曾经葬身此地的飞虎队队员怨魂作祟，还是献王的大祭师设下的迷局……...详情>>,上映：2018年09月30日
42,影,邓超/孙俪/郑恺/王千源/胡军/关晓彤,《影》这部影片是由张艺谋执导，邓超、巩俐、郑恺、王千源、胡军等主演，预计在2018年9月30日上映，据悉，该影片目前正在积极筹备中，后续将会陆续更新演员以及剧情信息，敬请期待！这是一个关于替身的故事。替身自古有之，人称“影子”。有刺杀，就有影子，影子必须在危急关头挺身而出，替主人博回一命；影子又必须与真身互为一体，令旁人真假难辨如同孪生。若无真身，影子何在？关于影子的来龙去脉，真身从来忌讳莫深，不愿提及而令真相扑朔迷离。是愿做真身，还是愿做影子？是明处做人，还是暗处做鬼，换作是你，如何选择？...详情>>,上映：2018年09月30日
43,胖子行动队,包贝尔/文章/李成敏/许君聪/曾一竣/张梦露,《胖子行动队》这部影片是由剧角映画、河马影业联合出品，包贝尔执导，文章，包贝尔，李成敏，辣目洋子主演，预计在2018年9月30日上映，据悉，该影片主要是讲述了两个胖子阴错阳差组成了特别行动队，介入一起贩毒案件中，上演了一场啼笑皆非的特工之旅。文章、包贝尔将在片中以300斤的形象出镜，组成“超重”量级特工CP，克拉拉这次将以“呆萌”的形象示人，辣目洋子则负责扮“美艳”的故事。...详情>>,上映：2018年09月30日
44,江湖儿女,廖凡/赵涛/徐峥/冯小刚/刁亦男/张一白,《江湖儿女》这部影片是由上海电影集团公司、北京西河星汇影业有限公司、欢喜传媒、MK2以及北野武工作室共同出品，贾樟柯编剧执导，廖凡、赵涛领衔主演，预计在2018年9月21日上映，主要是讲述了在2001年，山西塞外城市，模特巧巧与出租车公司老板斌哥本是一对恋人，斌哥每天在外面呼朋唤友，巧巧希望能够尽快进入婚姻，斌哥在街头遭到竞争对手的袭击，巧巧慌乱中发现斌哥的公文包中有自制火枪，她朝天鸣枪进而引发了一系列的故事。...详情>>,上映：2018年09月30日
45,墙里有钟的房子,凯特·布兰切特/杰克·布莱克,电影《墙里有钟的房子》由安培林娱乐公司投拍，伊莱·罗斯指导，埃里克·克莱普克改编，凯特·布兰切特、杰克·布莱克主演，大概于2019年上映。影片讲述了一个哥特风格的惊悚故事，十岁的刘易斯在父母去世后跟随巫师舅舅生活，而舅舅房子曾经的主人是一对致力于研究黑魔法，想要以此来毁灭世界的夫妻，他们在房间的墙壁里埋藏了一只可以毁灭世界的钟表。故事的转折点是刘易斯不小心唤醒了恶魔夫妻，世界面临着被毁灭的危险，他不得不试图阻止他们……...详情>>,上映：2018年09月30日
46,李茶的姑妈,黄才伦/艾伦/宋阳/卢靖姗,《李茶的姑妈》这部影片是由北京开心麻花影业有限公司出品，吴昱翰执导，黄才伦 、艾伦、宋阳主演，于2018年9月30日上映，据悉，该影片是根据同名话剧改编，主要是讲述了李茶的姑妈是一名“大富翁”，由于李茶的姑妈要订婚了，各家亲戚为了姑妈的财富进而引发了一系列搞笑的故事。...详情>>,上映：2018年09月30日
47,悲伤逆流成河,,电影《悲伤逆流成河》由落落导演执导，将于2018年9月21日在中国大陆上映。影片改编自郭敬明的同名小说，影片主要讲述齐铭、易遥、顾森西、顾森湘之间的友情及爱情故事。齐铭眼睁睁地看着易遥在自己的面前死去，他们曾经是相爱的，但一切都结束了。齐铭是一个全面发展的优等生，是老师标榜的对象，家长口中的别人家的孩子。这么优秀的他却与问题少女易遥走得很近，两个高中生处于友达以上、恋爱未满的状态。也许二人正是被对方身上自己所不具备的东西所吸引，齐铭的端正与优秀，易遥的洒脱与不羁。可齐铭心里有点瞧不起易遥，她年纪轻轻就跟不良少年恋爱，然后怀孕了，自己也......详情>>,上映：2018年09月30日
48,乐狱,林哲熹/纪言愷/范少勋/金士杰/包小松/宋少卿,《乐狱》这部影片是由孙启明执导，林哲熹、紀言愷、范少勋、金士杰、 包小松、宋少卿 、萧蔷 、连凯主演，于2018年9月28日上映，该影片主要是讲述了一名音乐老师，进入少年监狱，带领一帮逞凶的少年犯学习乐器，并赢得音乐比赛的故事。...详情>>,上映：2018年09月30日
49,黄金兄弟,郑伊健/陈小春/谢天华/钱嘉乐/林晓峰/曾志伟,《黄金兄弟》这部影片是由北京耀莱影视文化传媒有限公司、影艺人娱乐制作有限公司、北京耀旸信盁投资有限公司、宽鱼国际股份有限公司出品，曾志伟监制，钱嘉乐执导，郑伊健、陈小春、谢天华、钱嘉乐、林晓峰等主演，于2018年9月21日上映，据悉，该影片主要是讲述了狮王、火山、Bill、淡定、老鼠五个出生入死的兄弟，在恩师曹sir的带领下，为了救济儿童而偷取特效药，却惨遭设局，陷入枪林弹雨的险境之中进而引发的一系列故事。...详情>>,上映：2018年09月30日
50,说走就走之不说再见,牛骏峰/白举纲/吴谨言/谢昀杉/赵健雷,《说走就走之不说再见》这部影片是由张承导演执导、牛骏峰、白举纲、吴谨言、谢昀杉、赵健雷等主演，预计在2018年9月14日上映，据悉，该影片主要是讲述了登山社长陈萧、学霸熊波、富二代张昊、小跟班李硕是学校登山社的好兄弟。在一次登山社的派对结束后，他们四人阴差阳错地踏上了一场“说走就走”的冒险之旅。...详情>>,上映：2018年09月30日
51,阿尔法：狼伴归途,科迪·斯密特-麦菲/娜塔莎·迈尔兹/蕾奥娜·维埃拉,《阿尔法：狼伴归途》这部影片是由是艾尔伯特·休斯执导，科迪·斯密特-麦菲、娜塔莎·迈尔兹、蕾奥娜·维埃拉主演，预计在2018年9月7日上映，据悉，该影片主要是讲述了发生于两万年前的欧洲北部，地球正处于弱肉强食的冰川时期。心地善良的男主角科达是部落首领的儿子，在一次部落集体狩猎中，科达不慎跌落悬崖，众人以为科达已死，但大难不死的科达被洪水卷走幸存下来，只身流落荒野。 途中科达与一匹野狼相遇，给它起名阿尔法，意即狼群首领。科达在与其相处的过程中逐渐成长，学习“狼性”并存有“仁心”。这对人狼搭档在险恶的世界中相互为伴，一起踏上返乡之路，人与......详情>>,上映：2018年09月30日
52,吻隐者,谭卓/李至正/孙亦沐/张子涵/彭静,《吻瘾者》是由北京奥齐都市传媒出品，李燕宁担任编剧和导演，谭卓、李至正主演，预计在2018年9月7日上映，据悉，该影片主要是讲述了因由一起奇幻瑰丽、充满神秘主义色彩的“接吻”事件，展现一段环环相扣、凄美奇异的爱情故事。...详情>>,上映：2018年09月30日
53,草戒指,洪亦平/马靓/黄海冰/胡锰/陈义贞/孙翔,《草戒指》是由洪亦平执导，洪亦平、马靓、黄海冰、胡锰、孙翔主演，预计在2018年9月7日上映，据悉，该片讲述了自小命途多舛的女主角织秋与她青梅竹马的男主角江舟之间的爱情纠葛故事。...详情>>,上映：2018年09月30日
54,黑暗深处之惊魂夜,崔小田/高志刚/葛凌芮/李劲峰/林潇,《黑暗深处之惊魂夜》这部影片是由崔小田、高志刚、葛凌芮、李劲峰、林潇主演，预计在2018年9月7日上映，据悉，该影片主要是讲述了富二代吴子唅为平息绯闻照片风波，向危机公关专家乔申求助，吴子唅在乔申的引导和逼问之下，心理防线逐渐崩溃，最终坦白了为自身利益杀害女友和无辜女孩儿的犯罪事实，多年来一直跟进此案、逼近嫌疑人的警察在获得确凿证据之后，将吴子唅绳之于法。...详情>>,上映：2018年09月30日
55,念念手纪,滨边美波/北村匠海/小栗旬/北川景子/大友花恋/矢本悠马,《念念手纪》这部影片是由月川翔执导，该剧是由滨边美波、北村匠海主演，小栗旬、北川景子共演，于2017年7月28日在日本上映，2018年9月14日在中国大陆上映，据悉，该影片主要是讲述了志贺春树（北村匠海饰）偶然发现高中同班同学山内樱良（滨边美波饰）所写的秘密日记“共病文库”（即与疾病共同生存的日记），从而得知她身患胰脏绝症的秘密。性格天差地别的两人也因此走近，一同度过了樱良生命中最后一段时光。12年后，因樱良的一句话而成为母校教师的春树（小栗旬饰）在与学生聊天时回忆起当年与樱良度过的数月时光。与此同时，即将结婚的樱良的好友恭子（北川景......详情>>,上映：2018年09月30日
56,虎胆追凶,布鲁斯·威利斯/文森特·多诺费奥/伊丽莎白·苏/杰克·凯西,《虎胆追凶》这部影片是由美国米高梅影片公司出品的动作犯罪题材电影，由伊莱·罗斯指导，布鲁斯·威利斯、文森特·多诺费奥、伊丽莎白·苏、迪恩·诺里斯等主演，预计在2018年9月21日上映，据悉，该影片主要是讲述了在枪案频发的芝加哥，保罗原本是一个温文儒雅仁心妙手的医生，拥有一个幸福美满的家庭。一场突如其来的厄运让他的妻女惨遭暴徒欺凌，女儿昏迷不醒，爱妻更因此丧失生命，与他天人永隔。然而，城市里连串的凶案让警方束手无策，种种原因使得保罗的案件无法结案，本应受到制裁的凶徒逍遥法外。 在崩溃和绝望中，保罗的人生价值观彻底改变。为了替家人复仇，保......详情>>,上映：2018年09月30日
57,禹神传之寻找神力,王雪沁/吴凡/周宗禹/张艺文/唐泽宗,《禹神传之寻找神力》这部影片是由李金保执导，预计在2018年9月15日上映，据悉，该影片主要是讲述了少年禹背负拯救人类的预言使命，努力寻找自身神力的故事。作品旨在营造上古时代的神话世界，塑造了一个自强不息精神的少年英雄，最终获得了族人们的拥戴的故事。上古时期，水神共工因受蛊惑，水淹人间。此时，人间天现吉兆，半神之子大禹降生于世，巫婆预言他将担负拯救苍生的使命。禹在父母和族民宠爱下渐渐长成了“熊孩子”，聪明、骄傲又霸道，随后他跟另一个部落的公主女娇等6个小伙伴一起被送去黟山接受训练。然而，经过诸多艰险磨练，传说中禹的天赋神力却始终未能显......详情>>,上映：2018年09月30日
58,黑蝴蝶,,《黑蝴蝶》这部影片是由刘敏涛、李砚 主演，预计在2018年9月15日上映，据悉，该影片主要是讲述了八十年代中期，周鲲鹏（李砚饰演）是从乡镇来到大城市，梦想考美院的待业青年。齐琳（刘敏涛饰演），一个重获人生自由，却陷入婚姻困局的女人。他们都是匆忙站在人生十字路口的平凡人，他们互相依靠，帮扶，影响，从而找到更有意义的人生。...详情>>,上映：2018年09月30日
59,两只小猪之勇闯神秘岛,,《两只小猪之勇闯神秘岛》这部影片于2018年9月30日上映，据悉，该影片脱胎于传统童话故事，本次改编动画电影以崭新萌态登场，在很远很远的地方有一座神秘岛，那里奇幻神秘，突如其来的假期让古灵精怪的小猪皮皮和俏皮可爱的小猪娜娜与呆萌囧笨的小狗酥皮，三个小伙伴踏上了神秘岛奇妙之旅…憨萌的小猪们会遭遇怎样惊险刺激的危险呢？又将如何凭借勇气和智慧，化解重重危机呢？冒险就此展开····...详情>>,上映：2018年09月30日
60,铁血战士4,波伊德·霍布鲁克/奥立薇娅·玛恩/斯特尔林·K·布朗/特拉文特·罗兹/托马斯·简/雅各布·特瑞布雷,《铁血战士4》这部影片是由拍摄《钢铁侠3》的导演沙恩·布莱克执导，影片是由20实际福克斯公司出品，这将是一部与《钢铁侠》同规模的大制作，于2018年10月26日播出。《铁血战士》是1987年诞生的科幻恐怖动作片，片名中的“铁血战士”（Predator）是一种外星怪物，他们具有隐身能力，专以猎杀人类为乐趣。1990年、2010年《铁血战士》又拍了两部续集，而在2004和2007年福克斯还制作了两部《异形大战铁血战士》（Alien vs. Predator）的外传。沙恩·布莱克希望把新的《铁血战士》打造成一部“事件性”的电影（Event ......详情>>,上映：2018年10月26日
61,丛林之书：起源,Rohan Chand/本尼迪克特·康伯巴奇/克里斯蒂安·贝尔/安迪·瑟金斯/凯特·布兰切特/娜奥米·哈里斯,电影《丛林之书：起源》由华纳兄弟娱乐公司出品，安迪·瑟金斯指导，本尼迪克特·康伯巴奇、克里斯蒂安·贝尔、安迪·瑟金斯、凯特·布兰切特领衔主演，将于2018年10月19日在北美上映，中国大陆有望引进。影片主要讲述了一个名叫Mowgi的人类小孩被印度丛林中的一个狼群养大的故事。Mowgi在一只名叫Baloo的熊和一头名叫Bagheera的豹的教导下，开始学习残酷的丛林法则，他也被丛林中的动物接受，被视为同类，只有一只动物除外：凶狠的老虎Shere Khan。但在丛林中还潜伏着更大的危险，那就是当Mowgli要面对自己人类血统的时候…………......详情>>,上映：2018年10月26日
62,西游记之三借芭蕉扇,,《西游记之三借芭蕉扇》这部影片是由郑保瑞执导，目前该影片已经立项，作为西游记系列的第四部，预计在2018年下半年上映。该影片主要是根据西游记三借芭蕉扇的情节改编，据悉，目前正在积极筹备中。...详情>>,上映：2018年10月26日
63,刺猬索尼克,,《死侍》导演提姆·米勒正在与索尼合作制作一部根据世嘉游戏《刺猬索尼克》改编的电影，Blur Studio的杰夫·福勒将执导这部针对家庭观众的CG动画与真人结合的电影，而米勒担当执行制作人，两人还将与《速度与激情》系列制片人尼尔·H·莫瑞兹联手，莫瑞兹将任该项目制片人。该项目将由索尼影业和世嘉飒美集团下的CC动画工作室Marza Animation Planet联合制作，出品游戏《刺猬索尼克》的世嘉公司也是世嘉飒美的子公司。...详情>>,上映：2018年10月26日
64,阴阳师,,《阴阳师》这部影片是由工夫影业、华谊兄弟影业、网易影业联合出品，预计在2018年国庆档上映，据悉，该影片是根据同名网游改编，目前正在前期筹备中，后续将会陆续更新演员以及剧情信息，敬请期待！...详情>>,上映：2018年10月26日
65,皇家酒店的悲惨时光,,电影《皇家酒店的悲惨时光》由德鲁·高达指导，克里斯·海姆斯沃斯、杰夫·布里吉斯参演，将于2018年10月5日上映。据悉影片中的故事发生在1960年厄尔罗亚尔的一个破旧的酒店里，电影将会具体呈现这家酒店的灵异、科幻故事。...详情>>,上映：2018年10月26日
66,阿凡提之奇缘历险,胡谦/李晔/蒋可/李扬/游军/王衡,《阿凡提之奇缘历险》这部影片是由上海电影（集团）有限公司、上海美术电影制片厂有限公司、咪咕动漫有限公司、米粒影业联合出品，预计在2018年10月1日上映，该影片主要是讲述了智慧英雄将和伙伴开启一段险象环生的惊险旅程，解开葡萄城水源枯竭的惊天秘密故事。...详情>>,上映：2018年10月26日
67,登月第一人,瑞恩·高斯林/克莱尔·芙伊/凯尔·钱德勒/寇瑞·斯托尔/帕布罗·施雷柏/派屈克·福吉特,《登月第一人》这部影片是由达米恩·查泽雷执导的传记片，由瑞恩·高斯林领衔主演，于2018年8月29日举行全球首映，于2018年10月12日正式上映，瑞恩·高斯林，克莱尔·芙伊等主演，据悉，该片剧本改编自詹姆斯·汉森的传记作品《第一人：尼尔·阿姆斯特朗的人生》，讲述人类历史上首位登上月球的宇航员的生平故事。...详情>>,上映：2018年10月26日
68,功夫联盟,赵文卓/安志杰/陈国坤/杜宇航/书亚信/麦迪娜,《功夫联盟》是由嘉环（上海）影业有限公司出品，北京聚合影联文化传媒有限公司、上海盟米文化传媒有限公司、上海佳士品牌投资管理有限公司联合出品，由刘镇伟执导，赵文卓、安志杰、陈国坤、杜宇航领衔主演，书亚信、麦迪娜、张子文、何云伟等主演，预计在2018年10月19日上映，据悉，该影片主要是讲述了赵文卓饰演的黄师傅、安志杰饰演的霍大侠、陈国坤饰演的陈阿真、杜宇航饰演的叶姓神秘人空降现代，助力年轻的主人公费英雄追求真爱的故事。...详情>>,上映：2018年10月26日
69,宝贝儿,杨幂/郭京飞/李鸿其,《宝贝儿》是由内地著名导演刘杰担任执导，侯孝贤监制，杨幂、郭京飞、李鸿其主演，预计在2018年10月19日上映，据悉，该影片主要是讲述了一个因为严重先天缺陷而被父母抛弃的弃儿江萌(杨幂 饰)，拯救另一个被父母宣判了“死刑”的缺陷婴儿的故事。...详情>>,上映：2018年10月26日
70,爱猫之城,,《爱猫之城》这部影片是由希达·托伦执导，2016年2月21日上映，于2018年10月在中国上映，据悉，该片讲述了伊斯坦布尔的猫咪们的生活故事。伊斯坦布尔的猫并不能简单归类为我们平日所见的家猫或流浪猫，它们自由地出入于人类的生活，亲密但又保有自由，介乎于野生与驯养之间。在伊斯坦布尔，这样的猫成千上万只，它们以这样的方式和伊斯坦布尔共生了数千年。伊斯坦布尔人爱猫，许多人都有自己和猫之间独特的故事，与其说是猫依赖人 ，不如说是人依赖着与猫之间的亲密与羁绊，有人觉得猫是自己和上帝之间的桥梁，有人觉得猫是自己活在世上的一面镜子。伊斯坦布尔的猫之......详情>>,上映：2018年10月26日
71,山2,迪·埃金/缪拉·阿金/艾露·阿鲁拉/乌富克·巴伊拉克塔尔/阿茜雅·欧兹肯/迪·埃金,《山2》这部是由欧赞·艾贾、贝迪·埃金 、 缪拉·阿金、 艾露·阿鲁拉、乌富克·巴伊拉克塔尔、 艾琥·图尔克潘贾 、阿茜雅·欧兹肯主演，预计在2018年10月在中国上映，据悉，该影片主要是讲述了一个秘密的特种部队的故事，呼叫信号“风暴使者”。在第一部电影《山》的巴吉尔和奥古兹事件之后，不一定有把握的最好的朋友，已经报名参加世界闻名，永远艰苦的土耳其特种部队训练。他们的第一次任务是六年后开始的——渗透到现代伊拉克最野蛮的地区进行救援。...详情>>,上映：2018年10月26日
72,苦行僧的非凡旅程,丹努什/艾琳·莫里亚蒂/贝热尼丝·贝乔/巴克德·阿巴蒂/莎拉·珍妮·拉布罗丝/热拉尔·朱尼奥,《苦行僧的非凡旅程》这部影片是由丹努什、 艾琳·莫里亚蒂、贝热尼丝·贝乔 、巴克德·阿巴蒂、莎拉·珍妮·拉布罗丝、 热拉尔·朱尼奥 、希玛·比斯瓦斯、玛尔·索度佩、 阿贝尔·贾夫里、斯特凡诺·卡塞蒂、 Hearty Singh、Uwamungu Cornelis、 Gandharv Dewan、 Edwin Gillet、 Daniele Nisi、 Omkar Ketkar、Amruta Sant、 Pauline Maréchal、 Christian Bronchart主演，预计在2018年10月上映，据悉，该影片是改编自法国畅......详情>>,上映：2018年10月26日
73,我的间谍前男友,拉·库尼斯/凯特·麦克金农/贾斯汀·塞洛克斯/萨姆·修汉/薇尔玛·斯泽克斯/哈桑·明哈杰,《我的间谍前男友》这部影片是由苏珊娜·福格尔执导，拉·库尼斯、 凯特·麦克金农、贾斯汀·塞洛克斯、萨姆·修汉、薇尔玛·斯泽克斯 、哈桑·明哈杰、凯文·亚当斯、吉莲·安德森、伊万娜·萨赫诺、简·库丁、 保罗·雷瑟、弗雷德·迈拉麦德 、詹姆斯·弗雷特 、卡罗琳·皮克尔斯、贾斯婷·瓦希伯格、汤姆·斯托顿、 罗德里克·希尔主演，于2018年10月11日在中国上映，据悉，该影片主要是讲述了一对居住在洛杉矶的闺蜜，当闺密的CIA前男友与一群致命杀手一起出现在她们的公寓里时，两人被卷进了一场国际阴谋中，她们开始在欧洲与各位杀手斗智斗勇的故事。...详情>>,上映：2018年10月26日
74,超能泰坦,由萨姆·沃辛顿/泰勒·席林/汤姆·威尔金森/阿格妮丝·迪恩/娜塔莉·伊曼纽尔/诺亚·尤佩,《超能泰坦》这部影片是由萨姆·沃辛顿、 泰勒·席林、 汤姆·威尔金森、 阿格妮丝·迪恩 、娜塔莉·伊曼纽尔、 诺亚·尤佩、克里·约翰逊 、亚历山大·约瓦诺维奇 、 迪耶戈·博内塔 、 Aaron Heffernan、 娜奥米·巴特里克 、史蒂芬·克里、 娜塔莉·波萨 、弗朗西斯科·加里多、 凯尔·索列尔 、本·奥德里基、Gustavo Salmerón主演，于2018年10月12日在中国上映，据悉，该影片主要是讲述了发生在未来的科幻故事。那时的地球人口严重过剩，处于危险边 缘。战争盛行，资源正急剧减少。十年后，地球就将变成一片废墟，人......详情>>,上映：2018年10月26日
75,嗝嗝老师,拉妮·玛克赫吉/内拉吉·卡比/萨钦/苏普丽雅·皮尔加卡尔/侯赛因·达拉尔/Rohit Saraf,《嗝嗝老师》这部影片是由希德哈斯·P·马尔霍特拉执导，预计在2018年10月12日上映，该影片是由拉妮·玛克赫吉、内拉吉·卡比 、 萨钦、苏普丽雅·皮尔加卡尔、侯赛因·达拉尔、 Rohit Saraf、Vikram Gokhale、 Jannat Zubair Rahmani 、 Riya Shukla 、Ivan Rodrigues 、Asif Basra 、Shivkumar Subramaniam主演，据悉，该影片是根据知名小说改编，女主角奈娜（拉妮·穆克吉饰）患有图雷特氏综合症，经常会不受控制地抽搐并发出怪声。她梦想成为一名教......详情>>,上映：2018年10月26日
76,阿拉姜色,容中尔甲/尼玛颂宋/赛却加,《阿拉姜色》这部影片是由小金斯古拉旅游文化投资有限公司出品，由松太加执导，容中尔甲、尼玛颂宋、赛却加主演，于2018年10月26日上映，据悉，该影片主要是讲述了一个年轻的母亲患病，丈夫与儿子陪她踏上了为前夫尽遗愿的拉萨之旅的故事。...详情>>,上映：2018年10月26日
77,帝企鹅日记2：召唤,朗贝尔·维尔森/托马斯·阿克达/摩根·弗里曼/苏菲·格拉宝/罗夫·拉斯加德/皮弗,《帝企鹅日记2：召唤》这部影片是由吕克·雅盖执导，朗贝尔·维尔森、托马斯·阿克达 、 摩根·弗里曼、苏菲·格拉宝、罗夫·拉斯加德 、皮弗、丹尼斯·史托霍伊主演，预计在2018年10月12日上映，据悉，该影片主要是讲述了小企鹅在南极极端环境中勇敢对抗风雪和天敌，努力长大的故事。对于12年前《帝企鹅日记》中刚刚开启“鹅生”的小企鹅而言，如今的它们已经成为了爸爸妈妈，来自海洋的神秘召唤促使它们踏上旅程，继续着这片南极大陆上的传奇。...详情>>,上映：2018年10月26日
78,无敌原始人,埃迪·雷德梅恩/汤姆·希德勒斯顿/麦茜·威廉姆斯/蒂莫西·斯波/马克·威廉姆斯/理查德·阿瓦迪,《无敌原始人》这部影片是由由英国阿德曼动画公司制作的冒险动画片，由尼克·帕克执导，埃迪·雷德梅恩、汤姆·希德勒斯顿、麦茜·威廉姆斯、蒂莫西·斯波、马克·威廉姆斯联合配音，于2018年1月26日在英国上映，于2018年10月19日在中国上映，据悉，该影片主要是讲述了一群居住在山洞里的史前人类尼安德特人是如何利用足球击败了强大敌人、拯救自己的故事。在猛犸象游走地球的史前时期，石器时代和青铜时代成为了两个独立的部落。石器时代的人以猎兔为生，而青铜时代的人则以生产和商业为生。有一天，以暴君努斯（汤姆·希德勒斯顿配音）为首的青铜时代部落想夺走石......详情>>,上映：2018年10月26日
